# sleep=0.5, workers=1, exp=10
2,35045376,56201216,59891712,60010496
4,36249600,56905728,61677568,64704512
6,32702464,56979456,61882368,62877696
8,34361344,59219968,62210048,64626688
10,35926016,57671680,62263296,64094208
12,34205696,57778176,62717952,63545344
14,36274176,58183680,62586880,64573440
16,34009088,57786368,64651264,67145728
18,33189888,57831424,62631936,64987136
20,30466048,59518976,63340544,66146304
22,32477184,59936768,64212992,68644864
24,33701888,61550592,62808064,68743168
26,29999104,58638336,63954944,63954944
28,34242560,59965440,62791680,62791680
30,31891456,60674048,63864832,63864832
32,33918976,61251584,63795200,65105920
