# sleep=0, workers=3, exp=10
2,34512896,83943424,87896064,87896064
4,32960512,83755008,84545536,89554944
6,34127872,86835200,86835200,88625152
8,33878016,88342528,88342528,90116096
10,32956416,90464256,92708864,96489472
12,30097408,89432064,93102080,93102080
14,31113216,90222592,92766208,95113216
16,32923648,89772032,94781440,95567872
18,33361920,89903104,95031296,95031296
20,32288768,89468928,92606464,97230848
22,34750464,89460736,93519872,98140160
24,31739904,90062848,94027776,97579008
26,32964608,89636864,93290496,98340864
28,31895552,88674304,96669696,104366080
30,34328576,88850432,95051776,97968128
32,32935936,89931776,94859264,99860480
