# sleep=1, workers=1, exp=14
2,34025472,51650560,53260288,55050240
4,36118528,52736000,59617280,60141568
6,33062912,57004032,58580992,59228160
8,34504704,58531840,60882944,63102976
10,34074624,63107072,65073152,66756608
12,34209792,69259264,70975488,70975488
14,35401728,73388032,73388032,73388032
16,31834112,75243520,75243520,76353536
18,32796672,69873664,72740864,72740864
20,34459648,58511360,62234624,63922176
22,35307520,55848960,64233472,65466368
24,46321664,79450112,80359424,80359424
26,32964608,81461248,86999040,87662592
28,33038336,77754368,86306816,86831104
30,33857536,90066944,90066944,90066944
32,34185216,85975040,87322624,87977984
