# sleep=1, workers=1, exp=15
2,32968704,57139200,61313024,65785856
4,31764480,58314752,59744256,59744256
6,34074624,65085440,65085440,65085440
8,34418688,67653632,70967296,71749632
10,34553856,71139328,72937472,76091392
12,32227328,78917632,79380480,81948672
14,33718272,79323136,83464192,86245376
16,31215616,86548480,88264704,90357760
18,35016704,89096192,98078720,98078720
20,31985664,105422848,105422848,105422848
22,32927744,105508864,107925504,107925504
24,32796672,106045440,108957696,109543424
26,32968704,106889216,112926720,113889280
28,33955840,100712448,109105152,109219840
30,33361920,118423552,118423552,118423552
32,33624064,117272576,127225856,127225856
