# sleep=0, workers=2, exp=10
2,33824768,68960256,72384512,72384512
4,34213888,67899392,70074368,73076736
6,31027200,70205440,70205440,73494528
8,32296960,72937472,72937472,72937472
10,32485376,72552448,72728576,73691136
12,34164736,71852032,74743808,74809344
14,32923648,73003008,73363456,74891264
16,36028416,73191424,74850304,77967360
18,32010240,76689408,76689408,76689408
20,36548608,73293824,73293824,74104832
22,33333248,72761344,72761344,77934592
24,31633408,74579968,75157504,76464128
26,32968704,72986624,74653696,76537856
28,34111488,74121216,76423168,79278080
30,32198656,72253440,77103104,78675968
32,31117312,73568256,76046336,77918208
