2,33021952,64851968,64851968,68476928
4,33890304,71868416,72040448,72040448
6,33091584,68632576,72589312,72589312
8,38572032,72560640,86794240,86794240
10,33247232,89272320,89272320,90750976
12,33894400,109158400,110956544,110956544
14,32030720,105455616,105922560,105922560
16,38170624,44134400,107778048,110923776
18,33710080,118607872,118607872,118607872
20,33738752,129478656,129646592,129646592
22,34250752,125267968,125267968,125267968
24,31776768,114536448,114536448,114536448
26,30355456,95903744,96874496,113512448
28,33165312,76648448,115818496,141561856
30,32206848,139350016,146771968,158093312
32,36253696,162951168,162951168,162951168
