2,36130816,51609600,53334016,53334016
4,32280576,48291840,49197056,49197056
6,33308672,51179520,52666368,52666368
8,32423936,54820864,54820864,54820864
10,33824768,50905088,52789248,52789248
12,35028992,57278464,57278464,57278464
14,31617024,54550528,54550528,56688640
16,32403456,53571584,53600256,54497280
18,34631680,56791040,56791040,56791040
20,36196352,52588544,53444608,53444608
22,32849920,52805632,52858880,52858880
24,33116160,55300096,55447552,55447552
26,30216192,50094080,50835456,52887552
28,33685504,49422336,49451008,49680384
30,31846400,55959552,55959552,57769984
32,32477184,48762880,50753536,51630080
