2,31.492,61.848,61.848,65.305
4,32.32,68.539,68.703,68.703
6,31.559,65.453,69.227,69.227
8,36.785,69.199,82.773,82.773
10,31.707,85.137,85.137,86.547
12,32.324,104.102,105.816,105.816
14,30.547,100.57,101.016,101.016
16,36.402,42.09,102.785,105.785
18,32.148,113.113,113.113,113.113
20,32.176,123.48,123.641,123.641
22,32.664,119.465,119.465,119.465
24,30.305,109.23,109.23,109.23
26,28.949,91.461,92.387,108.254
28,31.629,73.098,110.453,135.004
30,30.715,132.895,139.973,150.77
32,34.574,155.402,155.402,155.402
